slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
584,94,2,3.8319716,5.4905863,662,744
818,97,6,3.530132,6.1029396,502,1157
819,114,8,4.6395936,7.5674925,502,1157
820,111,7,4.601956,7.0654573,502,1157
821,77,1,3.6003737,3.6003737,502,1158
1122,155,6,3.336676,6.1764,622,1220
1123,167,6,3.7731037,6.802215,622,1220
1181,94,6,4.427811,6.8594785,578,196
1182,121,8,4.6205277,7.8508086,578,195
1183,81,4,4.928102,6.752317,578,196
1292,77,4,2.4868026,3.3157368,650,1096
1293,98,11,4.0941944,5.9589806,649,1097
1294,113,13,4.145076,7.9410925,649,1097
1295,92,11,3.3842719,7.8312874,649,1097
1296,65,4,2.3084264,5.01584,648,1098
1406,100,6,4.1427593,5.498225,1222,679
1642,138,4,3.4865193,5.6003933,606,748
1828,143,5,3.6687331,5.1936884,236,794
1829,130,5,4.431711,6.173528,236,794
1850,161,10,3.6696544,9.62718,384,186
1851,225,14,5.685665,15.692436,384,186
1852,242,14,6.2259674,14.831492,384,186
1853,174,12,3.270275,7.0729213,384,186
1936,97,6,3.2531922,5.8557463,830,942
1937,108,8,4.4028773,7.5564957,831,942
1938,96,6,3.3766181,5.247997,830,942
1962,75,4,3.159509,3.6455872,256,924
1963,102,6,4.765693,6.8139277,257,924
1964,90,6,3.7312953,5.353597,257,924
2079,106,6,2.151114,5.749341,642,772
2080,102,6,2.123612,5.260323,642,772
2127,101,6,5.0841174,6.5108857,1200,670
2128,100,6,4.2887845,6.132561,1200,670
2402,103,8,3.7602446,7.248665,998,713
2403,98,4,5.241288,6.6269164,998,712
2974,90,4,5.113659,5.376647,774,1064
2975,80,4,3.6580172,5.0334315,774,1064
3025,94,6,4.47323,5.5149407,144,582
3026,108,8,4.3983026,6.028443,143,582
3027,85,4,4.333685,5.2864804,144,582
3080,97,6,3.4555113,5.888682,856,864
3081,91,6,3.2101085,5.7659273,856,864
3177,89,2,4.075112,4.657271,1234,889
3411,175,8,4.603423,7.522667,592,866
3412,233,13,5.1503553,13.593135,592,866
3413,198,13,4.1039267,9.639055,592,866
3414,133,4,2.669608,3.5969458,592,866
3455,88,1,5.18192,5.18192,603,734
3455,78,4,3.0326009,4.1219816,620,748
3455,61,1,0.9421673,0.9421673,629,753
3456,99,6,4.2006116,8.557526,589,718
3456,103,7,3.4665513,6.916356,603,734
3456,102,4,6.154385,7.2680354,620,748
3456,93,1,4.8062816,4.8062816,629,753
3457,85,6,3.2329636,5.7605534,589,718
3457,82,1,4.9376173,4.9376173,603,734
3457,45,4,2.1749027,3.761994,620,748
3457,60,1,1.7634346,1.7634346,629,753
3503,102,4,6.229874,7.9013033,708,1170
3504,81,4,4.9436316,8.300419,708,1170
3692,106,6,4.6713724,5.8288803,366,179
3693,115,8,5.612687,8.1864605,365,179
3694,99,8,3.9181595,6.2193007,365,179
3756,96,6,3.8323867,5.993201,397,874
3757,93,6,4.368349,6.123854,397,874
145,110,4,3.1030362,5.3194904,696,706
146,95,1,3.2761567,3.2761567,681,682
146,103,2,3.685676,4.368209,696,706
147,134,6,3.0615723,4.762446,762,348
147,109,6,2.5626497,6.259215,685,690
147,81,15,2.6125422,6.3952847,720,752
148,85,13,3.5528312,7.471395,719,753
150,108,8,2.6073892,5.688849,695,705
150,59,12,3.0250227,7.9914784,720,754
151,134,6,2.9073505,5.679476,794,230
152,113,6,2.290153,6.1968846,586,356
152,74,4,3.6036232,5.79274,686,690
152,89,2,1.5492212,1.8860084,694,705
152,74,10,3.3678722,6.735744,720,754
153,111,6,2.202678,5.933745,586,356
153,61,2,1.7531519,2.1577253,589,356
153,105,6,3.0792542,6.4731765,685,690
153,84,2,2.4948702,3.2365882,692,703
153,104,1,3.2365882,3.2365882,694,705
154,105,9,3.2391112,5.373641,692,703
155,104,6,3.4046743,5.241406,692,702
155,92,8,2.3855119,7.6605163,719,755
156,105,6,3.3207433,4.9476843,692,702
157,100,2,3.9827008,4.1154575,692,702
159,101,4,3.4433784,5.902934,704,718
160,114,6,3.8321903,5.7482853,696,709
160,101,4,3.1354284,4.7031426,704,718
161,109,1,3.7997487,3.7997487,686,695
161,51,6,2.0527377,5.503084,720,756
163,104,1,3.1300545,3.1300545,686,695
164,97,4,3.5170116,6.643244,696,710
166,99,1,3.232953,3.232953,695,709
168,100,5,3.076738,5.1709886,685,694
168,115,4,4.1691093,6.0759115,694,708
169,106,2,3.8018603,4.8973117,680,687
169,85,4,3.318573,5.1550646,684,692
169,108,4,4.414024,6.057201,686,696
169,101,1,4.5106816,4.5106816,693,707
170,91,4,3.1546934,5.279283,680,688
170,79,4,3.1225028,5.665572,684,692
170,118,6,2.6181812,5.7943354,688,700
171,88,2,3.0850215,3.8562768,680,686
171,121,6,2.8493598,6.1700425,688,700
171,79,4,3.02075,5.6558723,720,760
172,89,2,3.7316074,5.0183687,680,686
172,76,4,3.056058,5.275721,720,760
174,70,4,3.8999877,5.626212,680,686
175,66,4,2.6563578,4.3525863,680,686
177,95,2,3.1932955,3.5764909,686,698
178,81,2,1.7831848,2.5474067,686,698
178,92,2,1.84687,2.0379255,690,704
184,104,6,2.2052536,5.2426786,677,686
188,105,6,1.87598,4.823949,684,698
194,111,5,3.8518157,5.2747793,684,700
196,96,11,2.622738,5.401724,683,700
197,100,6,1.182204,4.8918786,676,688
197,102,6,3.5669947,5.6256604,683,699
198,104,8,2.8304105,4.8958454,683,699
199,101,8,2.6456633,4.7713695,683,699
200,103,2,3.7186668,4.145399,682,699
205,95,2,3.5259972,4.9850307,677,692
207,105,4,3.251985,5.8353376,690,712
209,79,2,2.6627753,3.8731277,684,703
210,88,2,4.053947,5.5666137,684,703
214,99,6,2.937502,4.9494896,677,695
215,88,2,2.5272384,2.647583,676,694
215,98,2,3.6103406,4.091719,678,696
224,95,2,3.5984578,4.365342,684,707
