cluster_root,volume_name,n_seed,n_seed_regions,n_seed_total,fill_pca,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,diag,gs_median,gs_p90,gs_peak,gs_shell_median,gs_contrast,volume_mm3,z_extent_mm,y_extent_mm,x_extent_mm,radial_pos_frac,dist_to_z_boundary_mm,ml_label,sample_weight
"('M50L-01', 16, 281, 1051, 906)",M50L-01,3,1,3,0.6366,8.856,19.0,1.0755,0.0377,5.4991,0.8889,0.0,0.1111,1.0,0.0,5.4936,1.3032,1.0,1.0,153.0,153.8,154.0,136.0,17.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.613,1.2467306,0,0.09090909090909091
"('M50L-01', 10, 282, 1148, 521)",M50L-01,3,1,3,0.5591,7.6814,16.0,1.0435,0.4612,4.6262,0.5333,0.2667,0.2,0.7071,0.0,4.6305,1.0149,1.0,1.118,145.0,145.8,146.0,126.0,19.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.724,1.2631349500000002,0,0.09090909090909091
"('M50L-01', 18, 286, 686, 704)",M50L-01,5,1,5,0.5006,13.839,20.0,1.3158,0.5004,5.76,0.5267,0.2905,0.1828,0.8683,0.022,4.462,1.2939,0.5658,0.8774,136.0,140.2,142.0,116.0,20.0,4.414454859069314e-05,0.0656174,0.04921305000000001,0.0328087,0.053,1.32875235,0,0.125
"('M50L-01', 11, 286, 887, 810)",M50L-01,3,1,3,0.5339,9.2157,18.0,1.125,0.283,5.184,0.5357,0.3214,0.1429,1.0,0.0,5.3259,1.872,0.7969,0.8819,131.0,132.4,133.0,116.0,15.0,1.7657819436277256e-05,0.04921305000000001,0.0328087,0.01640435,0.317,1.32875235,1,0.07142857142857142
"('M50L-01', 15, 286, 890, 769)",M50L-01,3,1,3,0.6366,8.4799,20.0,1.1765,0.0196,5.76,0.8889,0.0,0.1111,1.0,0.0,4.8907,0.7214,1.0,1.0,132.0,135.2,136.0,120.0,12.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.29,1.32875235,0,0.07142857142857142
"('M50L-01', 9, 307, 955, 1034)",M50L-01,3,1,3,0.5591,8.0119,18.0,1.102,0.7119,5.0955,0.5333,0.2667,0.2,0.7071,0.0,4.8156,0.8499,1.0,1.118,133.0,133.0,133.0,119.0,14.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.644,1.6732437000000002,1,0.07142857142857142
"('M50L-01', 15, 311, 743, 828)",M50L-01,3,1,3,0.5842,8.7538,18.0,1.1613,0.501,5.0827,0.7576,0.1294,0.1129,0.8507,0.0,4.6603,1.2695,0.7903,0.9919,130.5,131.0,131.0,117.0,13.5,1.7657819436277256e-05,0.04921305000000001,0.0328087,0.01640435,0.21,1.7388611000000003,1,0.09090909090909091
"('M50L-01', 10, 315, 406, 640)",M50L-01,3,1,3,0.4812,8.5897,17.0,1.1148,0.7959,4.7895,0.0,0.5625,0.4375,0.4459,0.5774,4.5054,1.6899,0.7705,1.0,147.0,150.8,152.0,135.0,12.0,1.7657819436277256e-05,0.0328087,0.0328087,0.0328087,0.497,1.8044785,0,0.09090909090909091
"('M50L-01', 13, 328, 1073, 937)",M50L-01,3,1,3,0.6028,9.77,18.0,1.1538,0.4024,5.0418,0.5854,0.2927,0.122,0.9487,0.0,4.7614,0.9801,0.641,0.9545,132.0,132.6,133.0,119.0,13.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.668,2.01773505,1,0.07142857142857142
"('M50L-01', 8, 368, 535, 509)",M50L-01,3,1,3,0.6366,8.7403,16.0,1.0159,0.6959,4.4398,0.0,0.75,0.25,0.0,0.0,4.162,1.1099,0.7619,1.0,129.0,129.7,130.0,119.0,10.0,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.409,2.6739090500000002,1,0.125
"('M50L-01', 19, 385, 634, 839)",M50L-01,3,1,3,0.5842,8.5852,16.0,1.0323,0.5171,4.4311,0.7576,0.1294,0.1129,0.8507,0.0,4.1539,1.1079,0.7742,0.9919,138.5,140.4,141.0,128.0,10.5,1.7657819436277256e-05,0.04921305000000001,0.0328087,0.01640435,0.259,2.952783,0,0.5
"('M50L-01', 18, 387, 801, 1073)",M50L-01,3,1,3,0.6366,8.1538,18.0,1.0588,0.9608,4.984,0.8889,0.0,0.1111,1.0,0.0,4.4307,0.277,1.0,1.0,153.0,153.8,154.0,137.0,16.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.602,2.9855917,0,0.125
"('M50L-01', 10, 419, 1156, 650)",M50L-01,3,1,3,0.5591,8.2907,18.0,1.0385,0.7226,4.9709,0.5333,0.2667,0.2,0.7071,0.0,4.6947,1.1046,1.0,1.118,131.0,132.6,133.0,121.0,10.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.687,3.5105309000000005,1,0.09090909090909091
"('M50L-01', 13, 441, 673, 1221)",M50L-01,3,1,3,0.6028,9.7405,18.0,1.1392,0.6253,4.9627,0.5854,0.2927,0.122,0.9487,0.0,4.6866,1.3785,0.6456,0.9545,158.0,159.2,160.0,137.0,21.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.821,3.8714266000000004,1,0.07142857142857142
