cluster_root,volume_name,n_seed,n_seed_regions,n_seed_total,fill_pca,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,diag,gs_median,gs_p90,gs_peak,gs_shell_median,gs_contrast,volume_mm3,z_extent_mm,y_extent_mm,x_extent_mm,radial_pos_frac,dist_to_z_boundary_mm,ml_label,sample_weight
"('M50L-09', 9, 3734, 494, 1191)",M50L-09,7,1,7,0.6017,16.1744,16.0,1.2249,0.6514,4.9529,0.2681,0.3404,0.3915,0.9191,0.0415,3.7147,1.2382,0.512,0.7906,118.0,121.5,123.0,107.0,11.0,7.063127774510903e-05,0.0656174,0.04921305000000001,0.0328087,0.834,5.56107465,1,0.07142857142857142
"('M50L-09', 0, 3963, 650, 1094)",M50L-09,8,1,8,0.508,19.6306,19.0,1.5496,0.6252,6.3444,0.333,0.3048,0.3622,0.6753,0.063,4.0079,2.0019,0.4504,0.9713,117.0,120.0,124.0,107.5,9.5,0.00010153246175859423,0.0656174,0.04921305000000001,0.0656174,0.619,1.8044785,1,0.07142857142857142
"('M50L-09', 13, 4071, 780, 328)",M50L-09,5,4,8,0.289,19.8259,16.0,1.5152,2.0335,6.0066,0.5633,0.3837,0.0529,0.1602,0.0755,4.4972,1.8738,0.4091,1.0183,125.0,132.6,134.0,108.0,17.0,0.00011036137147673285,0.08202175,0.11483045000000001,0.04921305000000001,0.591,0.0328087,0,0.3333333333333333
"('M50L-09', 12, 4072, 568, 1282)",M50L-09,3,1,3,0.4653,11.402,14.0,1.4583,0.5822,5.2602,0.8298,0.0818,0.0884,0.709,0.0563,2.6319,1.125,0.3958,1.2033,122.0,125.6,131.0,112.0,10.0,4.414454859069314e-05,0.0656174,0.0656174,0.0328087,0.934,0.01640435,0,0.3333333333333333
"('M50L-10', 14, 213, 612, 653)",M50L-10,4,3,6,0.3991,17.6981,15.0,1.26,1.4076,4.8705,0.6996,0.2008,0.0996,0.4977,0.0037,2.266,0.3272,0.344,1.1571,128.0,137.0,141.0,120.0,8.0,9.27035520404556e-05,0.08202175,0.08202175,0.0656174,0.167,0.0,0,1.0
"('M50L-10', 9, 213, 661, 799)",M50L-10,8,2,9,0.489,16.0774,17.0,1.3281,1.4812,5.5199,0.4801,0.3753,0.1446,0.5756,0.0032,4.5416,1.2959,0.6719,1.0363,132.0,135.2,136.0,116.0,16.0,6.621682288603971e-05,0.0656174,0.0656174,0.0328087,0.147,0.0,0,0.2
"('M50L-10', 13, 213, 679, 806)",M50L-10,3,1,3,0.2558,14.5681,17.0,1.4167,0.8838,5.5199,0.525,0.3879,0.0871,0.5246,0.1189,3.896,1.2968,0.2798,1.1108,127.5,131.7,134.0,115.0,12.5,6.180236802697039e-05,0.08202175,0.08202175,0.04921305000000001,0.149,0.0,0,0.09090909090909091
"('M50L-10', 2, 213, 699, 628)",M50L-10,3,1,3,0.5533,13.3824,28.0,1.6634,0.7351,9.0916,0.6061,0.303,0.0909,0.7071,0.0,4.5422,0.1626,0.6832,1.1055,128.0,136.5,139.0,113.0,15.0,2.6486729154415886e-05,0.04921305000000001,0.04921305000000001,0.01640435,0.132,0.0,0,0.07142857142857142
"('M50L-10', 4, 213, 715, 634)",M50L-10,3,1,3,0.5093,10.5475,25.0,1.5385,0.6033,8.1175,0.75,0.15,0.1,0.9487,0.0,3.8949,0.4871,0.8462,1.0541,125.5,132.6,135.0,113.5,12.0,1.7657819436277256e-05,0.04921305000000001,0.0328087,0.01640435,0.125,0.0,0,0.1
"('M50L-10', 10, 213, 728, 639)",M50L-10,5,3,12,0.3409,24.9284,38.0,2.267,0.6933,12.3386,0.8352,0.1259,0.0389,0.1162,0.2309,5.1942,1.6209,0.7074,0.9852,124.0,134.0,144.0,108.0,16.0,9.27035520404556e-05,0.0656174,0.1312348,0.04921305000000001,0.123,0.0,0,0.07142857142857142
"('M50L-10', 8, 215, 1199, 665)",M50L-10,5,1,5,0.4087,10.5742,15.0,1.125,1.4238,4.8619,0.8087,0.0589,0.1324,0.9827,0.169,3.7272,0.9743,0.875,0.9718,140.5,146.5,151.0,129.0,11.5,2.6486729154415886e-05,0.0656174,0.0328087,0.0328087,0.781,0.0328087,0,0.09090909090909091
"('M50L-10', 14, 247, 609, 682)",M50L-10,3,1,3,0.6366,8.8643,16.0,1.1228,0.3684,4.9789,0.9375,0.0,0.0625,1.0,0.0,5.443,1.5585,0.8246,1.0,127.5,128.0,128.0,113.0,14.5,1.7657819436277256e-05,0.0656174,0.01640435,0.01640435,0.15,0.5577479000000001,0,0.08333333333333333
"('M50L-10', 8, 525, 633, 794)",M50L-10,3,1,3,0.5591,7.823,17.0,1.0625,0.4569,4.7994,0.5333,0.2667,0.2,0.7071,0.0,3.9523,0.8467,1.0,1.118,119.0,119.0,119.0,110.0,9.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.167,5.118157200000001,0,0.16666666666666666
"('M50L-10', 2, 530, 992, 720)",M50L-10,3,1,3,0.6028,9.9576,20.0,1.2658,0.4416,5.6365,0.5854,0.2927,0.122,0.9487,0.0,4.7924,0.8458,0.6962,0.9545,128.0,133.2,134.0,116.0,12.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.453,5.200178950000001,1,0.07142857142857142
"('M50L-10', 14, 642, 549, 1078)",M50L-10,3,1,3,0.5093,10.6859,23.0,1.1948,1.1167,6.3838,0.75,0.15,0.1,0.9487,0.0,5.9674,1.3878,0.8312,1.0541,133.5,136.0,136.0,116.0,17.5,1.7657819436277256e-05,0.04921305000000001,0.01640435,0.0328087,0.622,7.037466150000001,1,0.07142857142857142
"('M50L-10', 18, 657, 761, 799)",M50L-10,3,1,3,0.5245,11.5421,19.0,1.2091,0.6124,5.2747,0.46,0.2645,0.2756,0.8571,0.1,4.1642,1.3881,0.5,0.9344,127.0,134.4,135.0,116.0,11.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.0328087,0.166,7.283531400000001,0,0.07142857142857142
"('M50L-10', 11, 932, 228, 991)",M50L-10,9,2,10,0.5147,20.3061,33.0,1.8978,0.5976,9.0829,0.3293,0.3597,0.3111,0.8801,0.2852,4.6791,1.6514,0.6677,0.9132,132.0,139.3,147.0,119.0,13.0,7.946018746324766e-05,0.0656174,0.04921305000000001,0.0656174,0.864,11.79472765,1,0.07142857142857142
"('M50L-10', 13, 938, 470, 746)",M50L-10,4,1,4,0.5406,12.0645,21.0,1.3548,0.5888,5.779,0.6884,0.0774,0.2342,0.6739,0.7071,3.7151,1.3758,0.5887,1.089,133.0,139.9,142.0,120.0,13.0,3.531563887255451e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.37,11.893153750000002,1,0.07142857142857142
"('M50L-10', 7, 1324, 624, 641)",M50L-10,3,2,4,0.3189,19.5238,18.0,1.3811,3.1297,4.9229,0.7926,0.1262,0.0813,0.0834,0.1293,3.2819,1.094,0.1714,1.1038,121.0,122.0,123.0,111.0,10.0,0.00013243364577207942,0.08202175,0.08202175,0.11483045000000001,0.162,18.241637200000003,0,0.07692307692307693
"('M50L-10', 16, 1396, 668, 274)",M50L-10,78,3,80,0.419,77.3414,71.0,2.7914,0.6342,19.3875,0.5684,0.0427,0.3889,0.1908,0.7335,4.9151,1.6383,0.8278,0.7718,142.5,167.7,191.0,119.0,20.0,0.000547392402524595,0.09842610000000002,0.1640435,0.1640435,0.675,19.406346050000003,1,0.07142857142857142
"('M50L-10', 12, 1431, 112, 853)",M50L-10,34,1,34,0.5023,43.1111,52.0,2.2567,0.6562,14.191,0.239,0.3803,0.3807,0.3141,0.5813,5.3216,1.7739,0.8375,0.9602,138.0,156.4,171.0,121.0,15.5,0.00020747937837625776,0.08202175,0.08202175,0.08202175,0.956,19.9804983,1,0.07142857142857142
"('M50L-10', 6, 1707, 763, 605)",M50L-10,3,2,4,0.4588,11.0332,18.0,1.1776,1.8553,4.9107,0.8336,0.0666,0.0998,0.7341,0.3987,4.6379,0.8184,0.6449,1.056,146.0,148.6,151.0,122.0,24.0,3.0901184013485196e-05,0.0656174,0.04921305000000001,0.0328087,0.177,24.508098900000004,0,0.07692307692307693
"('M50L-10', 15, 1797, 795, 489)",M50L-10,3,1,3,0.49,10.649,18.0,1.2233,0.773,4.9236,0.578,0.156,0.266,0.4489,0.8101,3.556,1.0941,0.4951,1.0017,129.0,130.4,131.0,119.0,10.0,3.0901184013485196e-05,0.0328087,0.04921305000000001,0.04921305000000001,0.359,25.984490400000002,1,0.07142857142857142
"('M50L-10', 0, 1902, 1080, 439)",M50L-10,3,1,3,0.357,14.6446,26.0,1.8384,0.4917,7.1948,0.2711,0.4788,0.2501,0.8263,0.4926,3.1832,0.8294,0.3232,0.9704,132.0,140.1,142.0,122.0,10.0,6.180236802697039e-05,0.0656174,0.0656174,0.0656174,0.711,27.70694715,1,0.07142857142857142
"('M50L-10', 4, 2013, 705, 959)",M50L-10,5,1,5,0.503,10.4192,16.0,1.0909,0.4061,4.6407,0.523,0.1584,0.3185,0.9225,0.0898,4.6404,0.8699,0.875,0.8969,139.5,143.0,146.0,124.5,15.0,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.402,29.544234350000004,0,0.07142857142857142
"('M50L-10', 4, 2055, 927, 400)",M50L-10,3,2,4,0.4583,12.6964,20.0,1.374,0.7996,5.815,0.7077,0.1703,0.122,0.3678,0.0799,4.6523,1.7446,0.5344,1.0114,124.0,133.2,134.0,112.0,12.0,3.973009373162383e-05,0.04921305000000001,0.0656174,0.0328087,0.579,30.216812700000002,1,0.07142857142857142
"('M50L-10', 13, 2148, 717, 876)",M50L-10,5,1,5,0.533,12.9283,17.0,1.1504,0.8968,4.9575,0.6533,0.0649,0.2818,0.5506,0.1735,4.0826,1.1665,0.6316,1.084,131.0,134.2,135.0,120.0,11.0,3.973009373162383e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.274,31.64399115,1,0.07142857142857142
"('M50L-10', 5, 2255, 609, 1149)",M50L-10,9,1,9,0.4913,18.8464,23.0,1.5109,1.0588,6.7116,0.5948,0.196,0.2092,0.9349,0.3509,3.9396,1.1672,0.5876,0.8621,132.5,138.0,139.0,121.0,11.5,7.946018746324766e-05,0.08202175,0.0656174,0.04921305000000001,0.716,29.888725700000002,1,0.07142857142857142
"('M50L-10', 9, 2270, 627, 638)",M50L-10,8,2,10,0.3264,18.6243,22.0,1.4221,1.5655,6.4233,0.3221,0.4736,0.2043,0.8457,0.1907,3.212,1.022,0.692,0.8933,129.0,141.8,144.0,118.0,11.0,7.504573260417834e-05,0.08202175,0.0656174,0.04921305000000001,0.161,29.67546915,0,0.16666666666666666
"('M50L-10', 6, 2301, 756, 282)",M50L-10,4,2,6,0.5116,16.0496,24.0,1.5758,0.703,7.0143,0.5441,0.2029,0.253,0.3557,0.1654,3.7994,1.169,0.5758,1.2083,132.0,136.4,140.0,121.0,11.0,5.738791316790108e-05,0.04921305000000001,0.04921305000000001,0.04921305000000001,0.654,29.134125600000004,1,0.07142857142857142
"('M50L-10', 18, 2447, 643, 615)",M50L-10,3,1,3,0.5245,10.609,17.0,1.2396,0.3923,4.9705,0.46,0.2645,0.2756,1.0,0.0,3.5086,1.4619,0.5104,0.9344,132.0,145.4,146.0,125.0,7.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.0328087,0.166,26.739090500000003,0,0.07142857142857142
"('M50L-10', 16, 2564, 969, 667)",M50L-10,3,1,3,0.5591,8.9679,19.0,1.0755,0.4544,5.5683,0.5333,0.2667,0.2,0.7071,0.0,5.5685,1.7585,1.0,1.118,131.0,131.8,132.0,116.0,15.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.405,24.819781550000002,1,0.07142857142857142
"('M50L-10', 11, 2576, 525, 579)",M50L-10,17,1,17,0.5222,27.988,33.0,1.7964,0.2503,9.6758,0.5397,0.1245,0.3358,0.4686,0.8646,4.6915,1.466,0.752,0.875,138.0,145.4,153.0,123.0,15.0,0.00011919028119487148,0.0656174,0.08202175,0.08202175,0.343,24.622929350000003,1,0.07142857142857142
"('M50L-10', 19, 2593, 632, 817)",M50L-10,3,1,3,0.5591,7.6219,15.0,1.0,0.4714,4.4006,0.5333,0.2667,0.2,0.7071,0.0,4.9872,2.4935,1.0,1.118,133.0,133.0,133.0,118.0,15.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.224,24.344055400000002,0,0.07142857142857142
"('M50L-10', 5, 2795, 262, 566)",M50L-10,5,2,6,0.4729,16.5226,18.0,1.3133,0.5505,5.2629,0.6057,0.0403,0.354,0.8264,0.3864,3.5086,1.1695,0.4206,0.9855,129.0,132.0,134.0,119.0,10.0,7.504573260417834e-05,0.0656174,0.04921305000000001,0.04921305000000001,0.729,21.0303767,1,0.07142857142857142
"('M50L-10', 12, 2861, 724, 816)",M50L-10,3,1,3,0.6028,9.541,17.0,1.1644,0.6207,4.9683,0.5854,0.2927,0.122,0.9487,0.0,4.676,1.169,0.6438,0.9545,126.0,128.8,130.0,114.0,12.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.188,19.9476896,1,0.07142857142857142
"('M50L-10', 11, 2872, 665, 1146)",M50L-10,3,1,3,0.6366,8.4771,17.0,1.1724,0.634,4.9694,0.0,0.75,0.25,0.0,0.0,4.677,0.7308,0.8103,1.0,130.5,132.4,133.0,118.0,12.5,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.706,19.76724175,1,0.07142857142857142
"('M50L-10', 13, 2924, 224, 843)",M50L-10,3,1,3,0.4824,9.9481,18.0,1.1842,0.4215,5.2684,0.5461,0.2256,0.2283,0.8117,0.4177,4.9757,0.5854,0.6711,0.9123,130.0,132.2,133.0,118.0,12.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.0328087,0.796,18.91421555,1,0.07142857142857142
"('M50L-10', 14, 3072, 743, 957)",M50L-10,3,1,3,0.6366,8.4714,17.0,1.1724,0.6845,4.9659,0.0,0.75,0.25,1.0,0.0,4.6739,1.3145,0.8103,1.0,129.0,130.0,130.0,118.0,11.0,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.412,16.48637175,1,0.07142857142857142
"('M50L-10', 13, 3074, 690, 573)",M50L-10,4,1,4,0.6366,9.7855,19.0,1.1343,0.6656,5.55,0.0,0.75,0.25,1.0,0.0,5.404,1.4605,1.0,1.0,145.0,146.7,147.0,128.0,17.0,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.192,16.453563050000003,0,0.07142857142857142
"('M50L-10', 3, 3135, 759, 660)",M50L-10,3,1,3,0.6028,9.5343,16.0,1.0959,0.8517,4.6728,0.5854,0.2927,0.122,0.9487,0.0,4.0887,1.1682,0.6301,0.9545,118.0,119.6,120.0,104.0,14.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.088,15.452897700000001,0,0.1111111111111111
"('M50L-10', 4, 3167, 940, 978)",M50L-10,3,1,3,0.6366,9.0511,18.0,1.1613,0.6387,5.2554,0.0,0.75,0.25,0.0,0.0,4.9635,1.3139,0.8065,1.0,131.0,132.0,132.0,117.5,13.5,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.566,14.9279585,1,0.07142857142857142
"('M50L-10', 11, 3173, 653, 810)",M50L-10,5,2,7,0.4603,16.991,20.0,1.4167,1.7525,5.8382,0.6377,0.1936,0.1687,0.7734,0.3061,3.2107,0.8757,0.4958,0.9129,124.0,128.0,131.0,113.0,11.0,7.504573260417834e-05,0.08202175,0.0656174,0.04921305000000001,0.204,14.829532400000002,1,0.2
"('M50L-10', 12, 3187, 746, 767)",M50L-10,3,1,3,0.6366,8.59,18.0,1.0588,0.0588,5.2512,0.8889,0.0,0.1111,1.0,0.0,5.5426,2.0421,1.0,1.0,118.0,118.8,119.0,103.0,15.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.125,14.5998715,0,0.07142857142857142
"('M50L-10', 16, 3345, 808, 940)",M50L-10,3,1,3,0.5591,8.4192,19.0,1.14,0.4386,5.5413,0.5333,0.2667,0.2,0.7071,0.0,5.2497,2.1874,1.0,1.118,134.0,134.0,134.0,116.0,18.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.412,12.007984200000001,1,0.07142857142857142
"('M50L-10', 0, 3478, 804, 758)",M50L-10,3,1,3,0.6366,8.9029,16.0,1.0492,0.684,4.6703,0.0,0.75,0.25,1.0,0.0,5.1082,2.0433,0.7705,1.0,142.5,148.7,149.0,119.0,23.5,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.173,9.82620565,0,0.07142857142857142
"('M50L-10', 11, 3527, 674, 523)",M50L-10,10,1,10,0.5695,20.4933,29.0,1.6512,0.4623,8.4598,0.3059,0.3397,0.3543,0.235,0.1245,4.3758,1.1669,0.7331,0.826,132.0,143.0,145.0,120.0,12.0,7.063127774510903e-05,0.04921305000000001,0.0656174,0.0328087,0.269,9.0223925,1,0.07142857142857142
"('M50L-10', 7, 3549, 428, 723)",M50L-10,3,1,3,0.4824,9.6589,19.0,1.2838,1.0332,5.5453,0.5461,0.2256,0.2283,0.8117,0.4177,4.6698,0.7297,0.7027,0.9123,131.0,131.0,131.0,118.0,13.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.0328087,0.451,8.67790115,1,0.07142857142857142
"('M50L-10', 2, 3574, 189, 853)",M50L-10,8,1,8,0.5202,17.8894,25.0,1.6327,0.5666,7.3018,0.5966,0.118,0.2854,0.3617,0.4625,4.3811,1.8984,0.5837,0.9661,130.5,134.5,139.0,118.0,11.5,7.063127774510903e-05,0.04921305000000001,0.0656174,0.0656174,0.857,8.251388050000001,1,0.07142857142857142
"('M50L-10', 19, 3575, 773, 621)",M50L-10,4,1,4,0.5788,14.1308,28.0,1.5312,0.7303,8.1785,0.4747,0.4312,0.0941,0.5071,0.0,4.0893,1.1683,0.6953,1.0865,130.0,142.4,143.0,110.0,20.0,3.0901184013485196e-05,0.04921305000000001,0.04921305000000001,0.01640435,0.14,8.2349837,0,0.06666666666666667
"('M50L-10', 2, 3577, 749, 610)",M50L-10,5,2,8,0.4191,17.3463,25.0,1.6304,1.2529,7.3024,0.5755,0.3403,0.0842,0.0587,0.0495,3.7972,0.8763,0.6522,0.9879,122.0,131.2,133.0,110.0,12.0,6.621682288603971e-05,0.0656174,0.08202175,0.0328087,0.137,8.202175,0,0.02631578947368421
"('M50L-10', 2, 3577, 749, 610)",M50L-10,3,2,5,0.4618,16.7331,27.0,1.5632,1.0314,7.8866,0.5529,0.3456,0.1014,0.1593,0.1731,3.2129,0.8763,0.6316,1.0362,125.0,138.0,139.0,110.0,15.0,4.8559003449762456e-05,0.04921305000000001,0.0656174,0.0328087,0.138,8.202175,0,0.02631578947368421
"('M50L-10', 3, 3579, 632, 659)",M50L-10,4,2,5,0.3074,17.3567,16.0,1.1737,1.0734,4.6738,0.5277,0.2313,0.241,0.7205,0.6929,3.2131,0.8763,0.3012,0.9771,127.0,139.0,142.0,117.0,10.0,8.387464232231696e-05,0.08202175,0.0656174,0.0656174,0.139,8.18577065,0,0.07692307692307693
"('M50L-10', 3, 3579, 632, 659)",M50L-10,3,3,6,0.3846,16.2486,18.0,1.3729,1.3726,5.2578,0.4197,0.3703,0.21,0.834,0.0878,2.6291,1.4606,0.4025,0.8805,128.5,137.3,143.0,117.0,11.5,7.946018746324766e-05,0.08202175,0.0656174,0.04921305000000001,0.139,8.202175,0,0.07692307692307693
"('M50L-10', 16, 3578, 738, 606)",M50L-10,3,1,3,0.6366,11.0999,27.0,1.4211,0.3816,7.8869,0.9375,0.0,0.0625,1.0,0.0,4.5277,0.5842,0.8421,1.0,131.5,138.2,140.0,116.0,15.5,1.7657819436277256e-05,0.0656174,0.01640435,0.01640435,0.137,8.18577065,0,0.03333333333333333
"('M50L-10', 2, 3577, 749, 610)",M50L-10,5,2,10,0.4604,20.2976,29.0,1.5615,0.9293,8.4711,0.5816,0.3246,0.0938,0.3755,0.0238,4.3816,1.1684,0.8192,0.9212,128.5,139.8,141.0,110.5,18.0,6.180236802697039e-05,0.0656174,0.08202175,0.0328087,0.136,8.202175,0,0.02631578947368421
"('M50L-10', 2, 3577, 749, 610)",M50L-10,10,1,10,0.4919,18.3821,28.0,1.5413,0.4439,8.1787,0.5165,0.3533,0.1302,0.2123,0.0476,4.5274,0.4382,0.8853,0.9889,131.5,136.0,144.0,112.0,19.5,5.297345830883177e-05,0.04921305000000001,0.0656174,0.0328087,0.137,8.202175,0,0.02631578947368421
"('M50L-10', 1, 3579, 623, 681)",M50L-10,14,3,20,0.4679,28.3519,23.0,1.5358,1.3593,6.7186,0.7495,0.1828,0.0677,0.1274,0.2139,3.2134,0.8763,0.5771,0.9499,125.0,134.0,142.0,115.0,10.0,0.0001854071040809112,0.08202175,0.08202175,0.1312348,0.145,8.1693663,0,0.25
"('M50L-10', 0, 3578, 722, 603)",M50L-10,39,1,39,0.4497,38.3616,29.0,1.5924,8.2062,8.4713,0.9577,0.0365,0.0058,0.0023,0.0436,4.6737,0.8762,0.831,1.0476,132.0,137.9,144.0,114.0,18.0,0.00022955165267160433,0.0656174,0.2624696,0.0328087,0.137,8.1693663,0,0.16666666666666666
"('M50L-10', 10, 3578, 730, 604)",M50L-10,7,1,7,0.5423,14.4586,23.0,1.3143,1.082,6.7186,0.5786,0.3523,0.0691,0.1357,0.0,3.9435,0.5843,0.9214,0.9509,130.5,135.0,135.0,114.0,16.5,3.531563887255451e-05,0.04921305000000001,0.0656174,0.01640435,0.137,8.18577065,0,0.1111111111111111
"('M50L-10', 16, 3578, 738, 606)",M50L-10,4,1,4,0.6062,13.8007,26.0,1.456,0.5954,7.5947,0.1247,0.7481,0.1273,1.0,0.0,3.2133,0.4381,0.68,0.9344,129.0,139.2,141.0,116.0,13.0,3.0901184013485196e-05,0.04921305000000001,0.04921305000000001,0.01640435,0.137,8.18577065,0,0.03333333333333333
"('M50L-10', 2, 3579, 666, 617)",M50L-10,4,1,4,0.4394,12.9505,26.0,1.7594,0.8023,7.595,0.3556,0.2893,0.3551,0.0831,0.2127,3.2132,1.4605,0.5489,1.0032,130.0,137.0,141.0,119.5,10.5,3.973009373162383e-05,0.04921305000000001,0.04921305000000001,0.04921305000000001,0.138,8.1693663,0,0.045454545454545456
"('M50L-10', 2, 3579, 666, 617)",M50L-10,3,1,3,0.5339,10.8082,26.0,1.4054,0.1622,7.595,0.5357,0.3214,0.1429,1.0,0.0,4.3817,0.8764,0.8378,0.8819,135.0,140.2,142.0,119.0,16.0,1.7657819436277256e-05,0.04921305000000001,0.0328087,0.01640435,0.139,8.1693663,0,0.045454545454545456
"('M50L-10', 3, 3579, 677, 611)",M50L-10,3,2,5,0.3841,14.459,22.0,1.2571,1.5021,6.4267,0.6095,0.2771,0.1134,0.3131,0.2688,4.8199,0.2921,0.7214,0.9948,135.0,139.3,140.0,119.0,16.0,3.531563887255451e-05,0.04921305000000001,0.0656174,0.0328087,0.138,8.1693663,0,0.07142857142857142
"('M50L-10', 10, 3579, 684, 608)",M50L-10,4,1,4,0.4808,13.4262,30.0,1.8462,0.5392,8.7634,0.3019,0.4872,0.2108,0.8676,0.1774,3.7974,0.5842,0.6308,1.0075,129.5,138.4,144.0,116.0,13.5,3.531563887255451e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.138,8.1693663,0,0.07142857142857142
"('M50L-10', 13, 3579, 689, 606)",M50L-10,7,3,18,0.398,27.5194,28.0,1.6279,2.4502,8.1792,0.9261,0.0385,0.0354,0.0346,0.0163,4.3818,1.1685,0.7171,0.979,131.5,141.1,144.0,114.0,17.5,0.00013243364577207942,0.04921305000000001,0.1640435,0.04921305000000001,0.138,8.1693663,0,0.07142857142857142
"('M50L-10', 12, 3578, 700, 604)",M50L-10,9,1,9,0.6087,16.5275,21.0,1.3382,2.2607,6.1342,0.7592,0.2047,0.0361,0.0847,0.0,4.3816,0.8763,0.7598,0.8773,131.0,135.8,138.0,114.0,17.0,5.738791316790108e-05,0.04921305000000001,0.09842610000000002,0.01640435,0.137,8.18577065,0,0.07142857142857142
"('M50L-10', 4, 3579, 673, 613)",M50L-10,3,1,3,0.6366,9.4938,21.0,1.2923,0.6202,6.1344,0.0,0.75,0.25,1.0,0.0,3.3594,0.2921,0.8,1.0,131.5,135.5,137.0,120.0,11.5,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.138,8.1693663,0,0.07142857142857142
"('M50L-10', 5, 3648, 498, 586)",M50L-10,3,1,3,0.5591,8.2894,17.0,1.0408,0.7212,4.9813,0.5333,0.2667,0.2,0.7071,0.0,5.2741,1.7581,1.0,1.118,129.0,129.0,129.0,115.0,14.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.376,7.037466150000001,1,0.07142857142857142
"('M50L-10', 19, 3654, 621, 618)",M50L-10,7,1,7,0.5794,15.2917,25.0,1.5152,0.9856,7.3269,0.4041,0.1554,0.4404,0.6667,0.2357,4.2496,1.1723,0.7818,0.9262,131.0,137.5,142.0,118.0,13.0,4.414454859069314e-05,0.04921305000000001,0.0328087,0.04921305000000001,0.185,6.939040050000001,1,0.07142857142857142
"('M50L-10', 14, 3931, 992, 706)",M50L-10,4,1,4,0.5591,10.7734,18.0,1.2273,0.8765,5.3968,0.2,0.3333,0.4667,0.0,0.0,4.499,1.0495,0.75,1.118,129.5,131.0,131.0,117.0,12.5,2.6486729154415886e-05,0.0328087,0.0328087,0.0328087,0.429,2.3950351000000003,1,0.07142857142857142
"('M50L-10', 9, 3938, 612, 340)",M50L-10,3,1,3,0.6366,8.4174,15.0,1.0714,0.6955,4.5101,0.0,0.75,0.25,1.0,0.0,4.0585,0.9018,0.7857,1.0,126.0,127.0,127.0,113.0,13.0,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.567,2.2802046500000004,0,0.07142857142857142
"('M50L-10', 16, 3955, 591, 849)",M50L-10,3,1,3,0.4738,10.0044,18.0,1.3333,0.8665,5.447,0.1333,0.2667,0.6,0.0,0.7071,4.2349,1.8152,0.6173,0.7454,127.5,131.5,133.0,117.0,10.5,2.6486729154415886e-05,0.0328087,0.04921305000000001,0.0328087,0.316,2.0013307,1,0.07142857142857142
"('M50L-10', 1, 3964, 900, 821)",M50L-10,9,1,9,0.4779,17.7781,21.0,1.4359,1.0635,6.3842,0.4026,0.1021,0.4953,0.922,0.2752,5.1632,1.5196,0.6538,0.8491,131.0,133.5,135.0,118.0,13.0,7.063127774510903e-05,0.0656174,0.04921305000000001,0.0656174,0.352,1.8372872000000002,1,0.07142857142857142
"('M50L-10', 15, 3977, 1037, 419)",M50L-10,36,1,36,0.4173,47.0973,50.0,2.4958,0.7389,15.3056,0.3518,0.3331,0.3151,0.4868,0.8614,4.7475,1.5319,0.7826,0.8343,135.0,152.0,165.0,124.0,9.0,0.00026045283668508953,0.08202175,0.09842610000000002,0.11483045000000001,0.652,1.640435,1,0.07142857142857142
"('M50L-10', 17, 3979, 388, 526)",M50L-10,7,1,7,0.5276,15.2947,20.0,1.3873,1.2398,6.1258,0.2375,0.35,0.4125,0.1501,0.1157,4.2854,0.6128,0.6763,0.9852,130.0,133.9,134.0,119.0,11.0,5.297345830883177e-05,0.04921305000000001,0.0328087,0.04921305000000001,0.572,1.6076263000000002,1,0.07142857142857142
"('M50L-10', 6, 4037, 952, 711)",M50L-10,4,1,4,0.5591,10.8728,17.0,1.2439,0.6478,5.524,0.2,0.3333,0.4667,0.7071,0.7071,4.871,1.9473,0.7073,1.118,127.5,130.5,132.0,116.0,11.5,2.6486729154415886e-05,0.0328087,0.0328087,0.0328087,0.367,0.656174,1,0.07142857142857142
