noise_seed,noise_condition,bit_depth,noise_mean_before,noise_mean_after,particle_sigma,amplitude_snr,interpolation_order,theta_deg,phi_deg,particle_id,top_k,z,y,x,radius_xy,rotated_z,rotated_y,rotated_x,peak_contrast_before,peak_contrast_after,peak_contrast_retention,peak_contrast_drop,integrated_contrast_before,integrated_contrast_after,integrated_contrast_retention,integrated_contrast_drop,peak_cnr_before,peak_cnr_after,peak_cnr_retention,integrated_cnr_before,integrated_cnr_after,integrated_cnr_retention
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,21,7,384.0,545.1288452148438,635.6384887695312,127.99998550969676,384.22466499008294,511.85356497749507,640.3346914242708,20.0,18.0,0.9,0.09999999999999998,125.0,116.0,0.928,0.07199999999999995,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,22,7,384.0,578.2576904296875,759.2770385742188,256.0000299748263,384.4480670985242,511.853560767336,768.3345409342337,20.0,17.0,0.85,0.15000000000000002,123.0,112.0,0.9105691056910569,0.08943089430894313,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,23,7,384.0,611.3865356445312,882.91552734375,384.0000154845229,384.6714691040688,511.8535723542378,896.3343314888529,20.0,18.0,0.9,0.09999999999999998,125.0,117.0,0.936,0.06399999999999995,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,24,7,384.0,576.0,622.8512573242188,128.0000048842193,384.2170527852752,544.9823897040255,635.9732237701174,20.0,19.0,0.95,0.050000000000000044,123.0,116.0,0.943089430894309,0.05691056910569103,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,25,7,384.0,640.0,733.7025146484375,256.0000097684386,384.43284258601204,578.1112260174577,759.6115466705834,20.0,18.0,0.9,0.09999999999999998,123.0,116.0,0.943089430894309,0.05691056910569103,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,26,7,384.0,704.0,844.5537719726562,384.00001465265785,384.6486323867489,611.2400623308902,883.2498695710493,20.0,18.0,0.9,0.09999999999999998,124.0,117.0,0.9435483870967742,0.056451612903225756,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,27,7,384.0,602.5096435546875,602.5096435546875,127.99996544059366,384.19473476626194,575.8535361108901,623.1859537887129,20.0,18.0,0.9,0.09999999999999998,128.0,118.0,0.921875,0.078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,28,7,384.0,693.0193481445312,693.0193481445312,256.00001719793306,384.38820667845323,639.8535619895598,734.0370814601552,20.0,17.0,0.85,0.15000000000000002,122.0,111.0,0.9098360655737705,0.0901639344262295,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,29,7,384.0,783.5289916992188,783.5289916992188,383.9999826385267,384.5816784601769,703.8535447098566,844.8881343792166,20.0,18.0,0.9,0.09999999999999998,128.0,118.0,0.921875,0.078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,30,7,384.0,622.8512573242188,576.0,128.0000048842193,384.15923207802024,602.3632268301101,602.8444324671452,20.0,17.0,0.85,0.15000000000000002,123.0,112.0,0.9105691056910569,0.08943089430894313,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,31,7,384.0,733.7025146484375,640.0,256.0000097684386,384.3172011715021,692.8729002696269,693.3539640646388,20.0,17.0,0.85,0.15000000000000002,123.0,113.0,0.9186991869918699,0.08130081300813008,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,32,7,384.0,844.5537719726562,704.0,384.00001465265785,384.475170264984,783.3825737091437,783.8634956621324,20.0,17.0,0.85,0.15000000000000002,124.0,116.0,0.9354838709677419,0.06451612903225812,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,33,7,384.0,635.6384887695312,545.1288452148438,127.99998550969676,384.1129640048242,622.7047867325794,576.3348061814971,20.0,19.0,0.95,0.050000000000000044,125.0,119.0,0.952,0.04800000000000004,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,34,7,384.0,759.2770385742188,578.2576904296875,256.0000299748263,384.2246650526812,733.5560790299992,640.3347272903795,20.0,18.0,0.9,0.09999999999999998,123.0,117.0,0.9512195121951219,0.04878048780487809,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,35,7,384.0,882.91552734375,611.3865356445312,384.0000154845229,384.3363660729671,844.4073123719852,704.334632602225,20.0,17.0,0.85,0.15000000000000002,125.0,115.0,0.92,0.07999999999999996,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,36,7,256.0,512.0,640.0,128.0,256.2172477308664,478.7247156174707,636.196620353322,20.0,18.0,0.9,0.09999999999999998,122.0,111.0,0.9098360655737705,0.0901639344262295,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,37,7,256.0,512.0,768.0,256.0,256.43303752209533,445.595877844348,759.8349378061575,20.0,16.0,0.8,0.19999999999999996,122.0,110.0,0.9016393442622951,0.09836065573770492,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,38,7,256.0,512.0,896.0,384.0,256.64882731332426,412.46704007122537,883.4732552589929,20.0,16.0,0.8,0.19999999999999996,122.0,112.0,0.9180327868852459,0.08196721311475408,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,39,7,256.0,545.1288452148438,635.6384887695312,127.99998550969676,256.2248599451821,511.85356497749507,640.5580934551057,20.0,18.0,0.9,0.09999999999999998,125.0,115.0,0.92,0.07999999999999996,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,40,7,256.0,578.2576904296875,759.2770385742188,256.0000299748263,256.44826205362335,511.853560767336,768.5579429650687,20.0,17.0,0.85,0.15000000000000002,123.0,113.0,0.9186991869918699,0.08130081300813008,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,41,7,256.0,611.3865356445312,882.91552734375,384.0000154845229,256.671664059168,511.8535723542378,896.5577335196879,20.0,17.0,0.85,0.15000000000000002,125.0,115.0,0.92,0.07999999999999996,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,42,7,256.0,576.0,622.8512573242188,128.0000048842193,256.2172477403743,544.9823897040255,636.1966258009525,20.0,19.0,0.95,0.050000000000000044,123.0,116.0,0.943089430894309,0.05691056910569103,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,43,7,256.0,640.0,733.7025146484375,256.0000097684386,256.43303754111116,578.1112260174577,759.8349487014184,20.0,18.0,0.9,0.09999999999999998,123.0,114.0,0.926829268292683,0.07317073170731703,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,44,7,256.0,704.0,844.5537719726562,384.00001465265785,256.648827341848,611.2400623308902,883.4732716018842,20.0,17.0,0.85,0.15000000000000002,124.0,115.0,0.9274193548387096,0.07258064516129037,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,45,7,256.0,602.5096435546875,602.5096435546875,127.99996544059366,256.1949297213611,575.8535361108901,623.409355819548,20.0,18.0,0.9,0.09999999999999998,128.0,118.0,0.921875,0.078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,46,7,256.0,693.0193481445312,693.0193481445312,256.00001719793306,256.3884016335524,639.8535619895598,734.26048349099,20.0,17.0,0.85,0.15000000000000002,122.0,111.0,0.9098360655737705,0.0901639344262295,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,47,7,256.0,783.5289916992188,783.5289916992188,383.9999826385267,256.581873415276,703.8535447098566,845.1115364100516,20.0,18.0,0.9,0.09999999999999998,128.0,118.0,0.921875,0.078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,48,7,256.0,622.8512573242188,576.0,128.0000048842193,256.15942703311936,602.3632268301101,603.0678344979802,20.0,17.0,0.85,0.15000000000000002,123.0,112.0,0.9105691056910569,0.08943089430894313,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,49,7,256.0,733.7025146484375,640.0,256.0000097684386,256.3173961266013,692.8729002696269,693.5773660954738,20.0,17.0,0.85,0.15000000000000002,123.0,113.0,0.9186991869918699,0.08130081300813008,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,50,7,256.0,844.5537719726562,704.0,384.00001465265785,256.4753652200832,783.3825737091437,784.0868976929673,20.0,17.0,0.85,0.15000000000000002,124.0,113.0,0.9112903225806451,0.08870967741935487,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,51,7,256.0,635.6384887695312,545.1288452148438,127.99998550969676,256.1131589599234,622.7047867325794,576.5582082123321,20.0,19.0,0.95,0.050000000000000044,125.0,119.0,0.952,0.04800000000000004,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,52,7,256.0,759.2770385742188,578.2576904296875,256.0000299748263,256.22486000778036,733.5560790299992,640.5581293212146,20.0,17.0,0.85,0.15000000000000002,123.0,115.0,0.9349593495934959,0.06504065040650409,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,53,7,256.0,882.91552734375,611.3865356445312,384.0000154845229,256.3365610280662,844.4073123719852,704.5580346330601,20.0,17.0,0.85,0.15000000000000002,125.0,114.0,0.912,0.08799999999999997,,,,,,
